no.,가수,곡 명,발매년도,계절,노래가사,성별
263,곽진언,나랑 갈래,2016.5.10,사계절,햇살 따듯한 날에 나랑 여행 갈래 다신 안 돌아오게 아주 먼 곳으로 햇살 따듯한 날에 나랑 도망 갈래 다신 못 돌아오게 아주 먼 곳으로 나랑 갈래 나랑 갈래 나랑 갈래 나랑 함께 가지 않을래 햇살 따듯한 날에 나랑 여행 갈래 다신 안 돌아오게 아주 먼 곳으로 아무도 모르게 아무도 모르게 나랑 함께 가지 않을래 햇살 눈부신 날에 나랑 도망 갈래 다신 못 돌아오게 아주 먼 곳으로 아무도 모르게 아무도 모르게 나랑 함께 가주지 않을래 햇살 따듯한 날에 나랑 사라질래 너랑 단 둘이서만 아는 먼 곳으로 나랑 갈래,남
264,"볼빨간사춘기,?바닐라 어쿠스틱(Vanilla Acoustic),?스웨덴세탁소,?스무살,?레터 플로우,?김지수,?WH3N(웬),?보라미유,?최유리",행복은 늘 가까이에 있어,2020.1.15,사계절,한참을 걸어가고 있어 아마 지금쯤 오르막길인 거 같아 숨이 턱 끝까지 차올라 너무 앞만 보고 온 걸까 이마에 맺힌 땀들이 눈앞에 흘러서 잘 보이지 않아 잠깐 걸음을 멈춰 하늘을 올려 다 볼래 이 시간들을 이 풍경들을 담아서 고된 우리의 여행 속 가끔 꺼내어봤을 때 아름다운 페이지가 될 수 있게 누군가 내 맘을 알아주길 바라기만 했던 거 같아 내 마음처럼 네 마음도 아팠을 텐데 나만 힘든 게 아닌 거처럼 누구나 행복은 항상 가까이에 있다는 거 잠깐 걸음을 멈춰 하늘을 올려 다 볼래 이 시간들을 이 풍경들을 담아서 고된 우리의 여행 속 가끔 꺼내어봤을 때 아름다운 페이지가 될 수 있게 아이들에 숨바꼭질 소리 엄마들에 밥 먹으라는 소리 시끌벅적하던 그 동네가 기억나는 건 행복은 그렇게 항상 가깝게 있어 우리와 함께 흘러가 그 시간들을 그 행복들을 담아서 고된 우리의 여행 속 가끔 꺼내어봤을 때 미소 짓는 페이지가 될 수 있게 아름다운 페이지가 될 수 있게,혼성
265,H1GHR MUSIC,RSVP Remix,2020.9.16,여름,"대충 몇 시야 I got two more songs to go 지금 갈 순 없어 얼마 전까지 시원했던 밖은 더워 편한 옷 걸치고 Why don’t you visit me RSVP Ring my bell one time Gotta pick up Ring my bell two times 주소 찍어 빠른 답장을 Please 빠른 답장을 ASAP 에휴 RSVP 넌 어디 갔어 Oh my bae 전화 걸어 네가 할 말만해 내가 그리 만만해 넌 아직 내 밤을 본적은 없네 Let it blow Hold my backpack 연락은 안되니 갠페해줘 I ain’t got no time 난 너 때문에 잠 못 자고 있어 또 침대는 Too high 안 그럼 나 작업도 못할 것 같아 Right now RSVP She is so litty 난 운전도 못하지 그건 정말 지루해 Yeah, let’s talk with 40, My feet get’em all like this Yeah lady 너만 좋담 나도 괜찮잖니 난 매일 해 Game 그녀와 Counting my racks yeah 싸우지 말자고 이젠 여행도 가고파 Fresh air 대충 몇 시야 I got two more songs to go 지금 갈 순 없어 얼마 전까지 시원했던 밖은 더워 편한 옷 걸치고 Why don’t you visit me RSVP Ring my bell one time Gotta pick up Ring my bell two times 주소 찍어 빠른 답장을 Please 빠른 답장을 ASAP 에휴 RSVP Hands on the wheel 거의 200 We bout to feel 빠빠 빠빠 빠빠 빨리 Hands on the wheel 거의 200 We bout to feel 빠빠 빠빠 빠빠 빨리 가까이 하기엔 넌 Too far Yeah, just one night 아무도 모르게 홀딱 옷 없이 Or love holic 그게 무슨 상관이야 이젠 난 거의 바보상태 혼자 빠른 답장에 Tic toc 올라가 입가 거의 뭐 집착 보내줘 19금 Sexy hot pic now 입맛 다셔도 진짜 안 미안해 지금 이 시간에 뭐 하는지 불안해도 Gotta work work work 난 또 벙 쪄 손에 안 잡혀서 달려 Skrr skrr skrr 아니 차도 필요 없어 사야겠어 난 Big yacht 이 바다는 너와 내 Plug It time to go RSVP Girl don’t leave me 빠른 답장을 Please 빠른 답장을 ASAP 많은 걱정은 No need oh yeah All my friends are going Ooo All my bros are going Yahah All my haters going No Ooo But all my buds are going yeah yeah ah 하기 싫은 일들을 하며 살기엔 내 인생은 너무도 짧아 Yeah 가보고 싶은 나라 또 내 꿈과 사고픈 차들이 너무나 많기에 오늘은 다 모여 내 친구들 Shout to Ju, My friend I’m living for my youth I’m ballin just for you 대충 몇 시야 I got two more songs to go 지금 갈 순 없어 얼마 전까지 시원했던 밖은 더워 편한 옷 걸치고 Why don’t you visit me RSVP Ring my bell one time Gotta pick up Ring my bell two times 주소 찍어 빠른 답장을 Please 빠른 답장을 ASAP 에휴 RSVP Hands on the wheel 거의 200 We bout to feel 빠빠 빠빠 빠빠 빨리 Hands on the wheel 거의 200 We bout to feel 빠빠 빠빠 빠빠 빨리",남
266,아이유,기차를 타고,2009.11.12,사계절,어디로 가는지 어디에서 멈출지 모르고 기차를 탔어 이별이 아파서 버릴 곳을 찾아서 무작정 기차를 탔어 창가에 비치는 눈물 모두 닦아낸 후에 다시 되돌아올거야 하나 둘 셋 하고 고개를 돌렸을 때 우리 사랑을 했던 기억 다 사라지기를 더 울기도 싫어 그만 그치고 싶어 그러니까 나 이제는 널 잊을래 기차를 타고 바람에 날리는 사진 사진속의 너와 나 왠지 슬프게만 보여 하나 둘 셋 하고 고개를 돌렸을 때 우리 사랑을 했던 기억 다 사라지기를 더 울기도 싫어 그만 그치고 싶어 그러니까 나 이제는 널 잊을래 기차를 타고 아무도 모르는 너만이 아는 아픈 이별여행 널 사랑한만큼 사랑했던 그만큼 미워해야 하는일 정말 힘이 들겠지만 더 울기도 싫어 그만 그치고 싶어 그러니까 나 이제는 널 잊을래 새하얗게 널 지울래 기차를 타고,여
267,ELO,OSAKA (Feat. ZICO),2018.5.29,사계절,"OSAKA oh yeah The place you and I dreamt of OSAKA yeah yeah yeah yeah Pack your bag first 비행기 안에 던져두고 Let's just fly away You don't need to make up 맨 얼굴이 예뻐 넌 Oh yeah yeah 하루 종일 걸어 다니며 Shopping all day Oh girl, you got style I know it Click clack 카메라 셔터 소리 네가 웃고 있어 뒤를 돌아보니 세상은 아직도 바쁘게 흘러가지만 너와 내 시간은 잠시 멈췄어 너무나 고요해 OSAKA oh yeah The place you and I dreamt of OSAKA yeah yeah yeah yeah 아무도 우릴 볼 수 없게 그 어떤 것도 우릴 방해할 수 없게 넌 내 옆에 있으면 돼 Yeah yeah yeah yeah 안 들려 크게 말해 what? 갑자기 그런 게 말이 돼? 어이없지만 어쩌겠어 넌 잘못 없는 걸 이런 졸지에 혼 여행하게 생겼네 Shit 붕 떠 있는 날 납치해서 호텔 방에 던져 Suite Room에 시차도 없는데 쉽게 잠에 못 들어 도톤보리, 사케 한 잔씩 신사이바시, 쇼핑 한 바퀴 아이고 의미 없다 맛집보단 너랑 먹는 배달음식 아름다운 장소에 맞닿을수록 내겐 최악으로 남을 추억 비행기도 택시처럼 잡혔으면 이미 쫑났을 투어 세상은 아직도 바쁘게 흘러가지만 너와 내 시간은 잠시 멈췄어 너무나 고요해 OSAKA oh yeah The place you and I dreamt of OSAKA yeah yeah yeah yeah 아무도 우릴 볼 수 없게 그 어떤 것도 우릴 방해할 수 없게 넌 내 옆에 있으면 돼 Yeah yeah yeah yeah 아무도 우릴 볼 수 없게 그 어떤 것도 우릴 방해할 수 없게 넌 내 옆에 있으면 돼 Yeah yeah yeah yeah OSAKA",남
268,아이유,Havana,2013.10.8,사계절,"거기선 모두가 노랠 하고 산대요 부서지는 파도 앞에 살면서 가장 낯설은 도시, 가장 익숙한 그대와 어때요 멋질 것 같죠 여기선 다 못한 우리 비밀 얘기들 크게 나누면서 걸어 다닐래 이건 외워주세요, hola muchacha Hermosa 아침마다 말해줘요 널 위해 한 잔, 날 위해 한 잔 늦은 저녁의 피냐 콜라다 웃어요 활짝, 예뻐요 찰칵 이 순간을 기억해 * Havana, you’re my Havana 그대의 미지의 그 눈빛 Havana, 언제나 설레임 그대의 존재는 날 꿈꾸게 해 너무 정신 없이 바쁠수록 소중한 그대와 마주한 짧은 순간들 기다릴 누군가가 있는 하루는 행복해 반쯤은 들뜬 내 모습 햇살이 얼핏 달콤한 귤빛 오후가 떠날 마지막 순간 그대를 만날 준비할 시간 난 여행을 떠나요 *Repeat 그대는 나만의 휴식 고민과 걱정 사라지네 난 매일 저 멀리 떠나요 그대를 볼 때면",여
269,오렌지캬라멜,샹하이 로맨스,2012.9.12,여름,빠졌나봐 빠졌나봐 Lovin' my boy 빠질거야 빠질거야 너의 맘도 오늘밤도 내일밤도 만날 My boy 100%는 아녀도 Baby Oh~내꺼 해줄꺼지 응? Baby Oh~보고 싶은 내님아 *Baby XXX 오! 나의 샹하이 러브 자꾸자꾸 나타나 Baby XXX 대체 넌 뭐야 훌쩍훌쩍 날 울려 XXX 내맘 오늘도 두근두근 거리게 Baby XXX 오! 나의 샹하이 러브 도도도도 도도해 비행기를 타고가야 만날텐데 만만치가 않아않아 울먹울먹 양쯔강 을 건너건너 가고파도 돈이없어 힘들어 Baby Oh~ 내꺼 해줄꺼지 응? Baby Oh~ 보고 싶은 내님아 *Repeat Hey~거기 수트입은 샹하이 Boy 왜 내가 눈떴을 땐 보이지 않는거야 아무 소리 없이 사라진 넌 나뻐 너는 내가 아마 처음 느낀 사랑일 껄 꿈이지만 난 니꺼 아무리 보고파도 그게 잘 안돼 어떡 해야 해 난 어떡해. 잊어야 하나 봐 잊으려 노력해도 그게 잘 안돼 자꾸 나타나잖아 꿈에 보이잖아 XXX 오! 나의 샹하이 러브 자꾸자꾸 나타나 Baby XXX 대체 넌 뭐야 훌쩍훌쩍 날 울려 XXX 내맘 오늘도 두근두근 거리게 Baby XXX 오! 나의 샹하이 러브 너무나도 도도해,여
270,GRAY,"잘 (I'm fine) (With 슬리피, 로꼬, 후디)",2017.10.9,사계절,"쉬어가도 돼 난 I'm fine 끊임없이 뛰어온 날 봐 잘 하고 있는지 의심되면 그런 내게 말해줘 I'm fine I'm fine 가끔은 내가 걷고 있는 이 길이 올바른 곳으로 제대로 가고 있는 건지 내가 내뱉는 말과 행동들이 다른 사람들의 눈엔 어떻게 비춰질지 생각은 많아지고 하루는 짧아져 날 위로해주는 건 긴 한숨뿐이야 대체 뭘 위해 이렇게까지 사는지 난 지금 내 자신을 위해 살고 있는 건지 I don't know 언제부턴가 쉬는 게 난 두려워져 자신감은 바닥을 잘 되는 사람이 부러워 하늘은 본 적 없고 주변 볼 시간 없어 모든 건 변명이지 예전이 그리워 uh 이 노랜 내가 내게 주는 선물 이 노랠 듣는 누군가에게도 선물이 되었으면 해 다시 내일의 해가 뜨기 전에 한마디만 해 잘하고 있다고 쉬어가도 돼 난 I'm fine 끊임없이 뛰어온 날 봐 잘 하고 있는지 의심되면 그런 네게 말해줘 I'm fine I'm fine 걷다가 또 뛰다가 또 지나가나 했더니 뿌리치지를 못하고 있어 겁이 나지 겁이 브라운관으로 봐도 결국 현실 같은 현실이 계속되는 거절은 변하지 않은 나지만 상할 대로 상한 너에겐 변해버린 나일 수도 인간적이라 말하지만 그 눈동자가 가리킨 건 내가 모는 차일 수도 2007년이었고 난 10년째 뒤바뀌어 버린 시차 여전히 피곤해 연락이 안 될 땐 내가 비행기 안이 거나 가사를 적고 있다고 생각해 주면 돼 솔직한 피드백을 원했던 건 내가 좀 더 나은 사람이 되고 싶었기 때문에 솔직하게 오늘은 좀 지쳐있고 아무나 내게 잘하고 있다고 말해줬으면 해 말해줬으면 해 자랑스럽네 부끄럽지 않게 너무 잘하고 있네 라고 baby I want you to tell me whatever I want good, finest fine 자주 꾸는 악몽 때문에 식겁해 다시 잠에 들기가 난 또 무섭네 yeah 굿 밤 굿 잠 푹 자 Sweet dreams 좋은 꿈 꾸길 Good night 쉬어가도 돼 난 I'm fine 끊임없이 뛰어온 날 봐 잘 하고 있는지 의심되면 그런 네게 말해줘 I'm fine I'm fine",남
271,싹쓰리,그 여름을 틀어줘,2020.7.25,여름,"이 여름 다시 한번 설레고 싶다 그때 그 여름을 틀어줘 그 여름을 들려줘 그때 그 여름을 틀어줘 다시 한번 또 불러줘 1, 2, SSAK 3 Okay okay okay Alright alright alright 저 바다가 부를 때 Go back Go back Go back 그해 여름으로 손잡고 뛰어들래? (Ooh~) Uh uh uh I’m UD-UD, MY NEW I.D 그 시절 날 웃고 울리던 멜로디 하늘은 우릴 향해 열려있어 uh 그리고 내 곁에는 네가 있어 uh RE?PLAY 이 계절을 멈추지 마요 밤새도록 Play 해줘 그때 그 여름을 틀어줘 그 여름을 들려줘 (내가 많이 설었던, 참 많이 뜨거웠던) 그때 그 여름을 틀어줘 다시 한번 또 불러줘 올라타 라타 라타 파도 타고 We flow 흘러 흘러 닿을 수 있을까? 왠지 왠지 왠지 올해 여름 바람 널 떠올려 그날의 ooh~ I love it, like it, yeah I like it! 돈이 없었지 깡이 없었나 아 예예예예예 일이 없었지 감이 없었나 아 예예예예예 Youth- Flex- 이 계절을 아끼지 마요 밤새도록 Play 해줘 그때 그 여름을 틀어줘 그 여름을 들려줘 (내가 많이 설었던, 참 많이 뜨거웠던) 그때 그 여름을 틀어줘 다시 한번 또 불러줘 이 여름도 언젠가는 그해 여름 오늘이 가장 젊은 내 여름 이 계절에 머무르고 싶어 언제까지 영원히 으음 음 1, 2, 3! 그때 그 여름을 틀어줘 그 여름을 들려줘 (내가 많이 사랑했던, 참 많이 설었던) 그때 그 여름을 틀어줘 다시 한번 또 불러줘",혼성
272,보아,아틀란티스 소녀,2003.5.31,여름,저 먼 바다 끝엔 뭐가 있을까 다른 무언가 세상과는 먼 얘기 구름위로 올라가면 보일까 천사와 나팔부는 아이들 숲속 어디엔가 귀를 대보면 오직 내게만 작게 들려오는 목소리 꿈을 꾸는 듯이 날아가볼까 저기 높은 곳 아무도 없는 세계 그렇게도 많던 질문과 풀리지 못한 나의 수많은 얘기가 돌아보고 서면 언제부턴가 나도 몰래 잊고있던 나만의 비밀 (이제 정말) 왜 이래 나 이제 커버린 걸까 (이제 정말) 뭔가 잃어버린 기억 (지금 내맘) 이젠 나의 그 작은 소망과 꿈을 잃지 않기를 저 하늘속에 속삭일래 오예 까만 밤하늘에 밝게 빛나던 별들 가운데 나 태어난 곳 있을까 나는 지구인과 다른 곳에서 내려 온 거라 믿고 싶기도 했어 그렇게도 많던 질문과 풀리지 못한 나의 수많은 얘기가 돌아보고 서면 언제 부턴가 나도 몰래 잊고 있던 나만의 비밀 (이제 정말) 왜 이래 나 이제 커버린 걸까 (이제 정말) 뭔가 잃어버린 기억 (지금 내맘) 이젠 나의 그 작은 소망과 꿈을 잃지 않기를 저 하늘속에 속삭일래 왜 이래 나 이제 커버린 걸까 (이제 정말) 뭔가 잃어버린 기억 (지금 내맘) 이젠 나의 그 작은 소망과 꿈을 잃지 않기를 저 하늘속에 속삭일래 우우예이예 우 너무나도 좋은 향기와 바람이 나에게로 다가와 어느샌가 나도 모르게 가만히 들려오는 작은 속삭임 귀를 기울이고 불러보세요 다시 찾게 될 거예요 잊혀진 기억 (생각해봐) 나 이제 더 이상 놓치진 않아 (소중했던) 나의 잃어버린 기억 (지금 내맘) 이젠 나의 그 작은 소망과 꿈을 잃지 않기를 저 하늘 속에 속삭일래 왜 이래 나 이제 커버린 걸까 (이제 정말) 뭔가 잃어버린 기억 (지금 내맘) 이젠 나의 그 작은 소망과 꿈을 잃지 않기를 저 하늘속에 기도할래,여
